candidate,tau,metric,mean,ci95_lo,ci95_hi,pass_rate
conv1,0,post_minus_pre,0.0,0.0,0.0,
conv1,0,full_minus_post,0.0,0.0,0.0,
conv1,0,head_minus_bout,0.0,0.0,0.0,
conv1,0,utility_frozen,0.9009462546362847,0.8726002728354315,0.9338012553205884,0.25
conv1,0,utility_pre_only,0.9009462546362847,0.8726002728354315,0.9338012553205884,0.25
conv1,0,utility_b_out_only,0.9009462546362847,0.8726002728354315,0.9338012553205884,0.25
conv1,0,utility_head_only,0.9009462546362847,0.8726002728354315,0.9338012553205884,0.25
conv1,0,utility_post_only,0.9009462546362847,0.8726002728354315,0.9338012553205884,0.25
conv1,0,utility_full_shell,0.9009462546362847,0.8726002728354315,0.9338012553205884,0.25
conv1,1,post_minus_pre,0.08037067721960724,0.04898154595887054,0.11056544210505005,
conv1,1,full_minus_post,0.012682833202049826,0.004600745902161973,0.021217218050257725,
conv1,1,head_minus_bout,0.09328570974967638,0.06535648698626367,0.11778723667656141,
conv1,1,utility_frozen,0.8425226528006239,0.8087662786016654,0.8773423011755579,0.0
conv1,1,utility_pre_only,0.8643077829750395,0.8344197899214438,0.8955178788486526,0.0
conv1,1,utility_b_out_only,0.8570976477241561,0.8328508271317416,0.881965720127985,0.0
conv1,1,utility_head_only,0.9503833574738324,0.9385403984721653,0.9645199183061317,0.5
conv1,1,utility_post_only,0.9446784601946467,0.9345916751704071,0.9547816737965101,0.375
conv1,1,utility_full_shell,0.9573612933966965,0.9432434287465878,0.9718332238238094,0.75
conv1,2,post_minus_pre,0.13520908944703242,0.10529998723392966,0.16701663332006747,
conv1,2,full_minus_post,0.011932723916237203,-0.0067959908829953175,0.030273873794201454,
conv1,2,head_minus_bout,0.14027887447589069,0.10941109920967027,0.16947988631508853,
conv1,2,utility_frozen,0.7921118634602297,0.7623179721769822,0.8248409483220623,0.0
conv1,2,utility_pre_only,0.8197393879715438,0.7952419813722339,0.8469200637024424,0.0
conv1,2,utility_b_out_only,0.8031519494633976,0.772504860493518,0.8362993661253902,0.0
conv1,2,utility_head_only,0.9434308239392882,0.9243801272963392,0.9629632567831671,0.25
conv1,2,utility_post_only,0.9549484774185761,0.9294685315058824,0.9757838615944512,0.625
conv1,2,utility_full_shell,0.9668812013348134,0.9467339326038366,0.9901669261369735,0.625
conv1,4,post_minus_pre,0.20358368112999167,0.17768849885558408,0.22846652821853514,
conv1,4,full_minus_post,0.015396118199037856,0.002946945674040524,0.027493834323153696,
conv1,4,head_minus_bout,0.20643150911128294,0.17094272141367847,0.2393306975515606,
conv1,4,utility_frozen,0.7133167850840922,0.6893134031019132,0.7375569697111047,0.0
conv1,4,utility_pre_only,0.743609660416656,0.723261527594521,0.7619880566032311,0.0
conv1,4,utility_b_out_only,0.7189795117495605,0.6874150571991704,0.755611599083095,0.0
conv1,4,utility_head_only,0.9254110208608434,0.8954996824506235,0.947278426389699,0.25
conv1,4,utility_post_only,0.9471933415466476,0.9178548105695721,0.9713749876940768,0.5
conv1,4,utility_full_shell,0.9625894597456855,0.9356919507987452,0.9875254266553969,0.625
conv1,8,post_minus_pre,0.2715145174596554,0.24278706347507695,0.30000089733152585,
conv1,8,full_minus_post,0.015223072447652974,0.003053736478700967,0.027363087399461833,
conv1,8,head_minus_bout,0.24657672585004378,0.2284277939973477,0.2646334902344887,
conv1,8,utility_frozen,0.6165529735134856,0.5838685402374373,0.6473199800246762,0.0
conv1,8,utility_pre_only,0.674850474960416,0.6441723133581985,0.7064492107999686,0.0
conv1,8,utility_b_out_only,0.66978825166774,0.6369925088085687,0.7046034923994617,0.0
conv1,8,utility_head_only,0.9163649775177838,0.8833411322971132,0.947332498333151,0.5
conv1,8,utility_post_only,0.9463649924200714,0.9195672516683782,0.9743185685367537,0.375
conv1,8,utility_full_shell,0.9615880648677242,0.9389804325472004,0.983398037435156,0.625
conv3,0,post_minus_pre,0.0,0.0,0.0,
conv3,0,full_minus_post,0.0,0.0,0.0,
conv3,0,head_minus_bout,0.0,0.0,0.0,
conv3,0,utility_frozen,0.9839250585777577,0.9639660572720443,1.005758523486242,0.875
conv3,0,utility_pre_only,0.9839250585777577,0.9639660572720443,1.005758523486242,0.875
conv3,0,utility_b_out_only,0.9839250585777577,0.9639660572720443,1.005758523486242,0.875
conv3,0,utility_head_only,0.9839250585777577,0.9639660572720443,1.005758523486242,0.875
conv3,0,utility_post_only,0.9839250585777577,0.9639660572720443,1.005758523486242,0.875
conv3,0,utility_full_shell,0.9839250585777577,0.9639660572720443,1.005758523486242,0.875
conv3,1,post_minus_pre,0.05306708685608688,0.026453682143366145,0.07672433299232666,
conv3,1,full_minus_post,0.004179023697236939,-0.010235246130992234,0.017501820214905053,
conv3,1,head_minus_bout,0.06667017576494746,0.04051379859015868,0.09059177776132034,
conv3,1,utility_frozen,0.9197443156228392,0.8995511333349181,0.9431896211054502,0.25
