selection,tau,k,effective_trainable_params,utility_mean,ci95_lo,ci95_hi,pass_rate
head_first_k,1,1,533,0.8446774499502165,0.8136643807688644,0.8751844393479202,0.0
head_first_k,1,2,1056,0.845487096507634,0.82068940394129,0.8721628954335376,0.0
head_first_k,1,4,2102,0.8582659207160825,0.8307161049907705,0.8841571457298146,0.0
head_first_k,1,8,4194,0.8678019117104216,0.8412742835942535,0.8910971678879692,0.0
head_first_k,1,16,8378,0.9035068964475976,0.8759888722908282,0.9296658072208758,0.25
head_first_k,1,48,25114,0.9534985956721862,0.9436556279537662,0.9636210634637279,0.5
head_first_k,2,1,533,0.7934343335805627,0.766131618886297,0.8227788620862234,0.0
head_first_k,2,2,1056,0.80264856284324,0.7801199819891228,0.8296021138022854,0.0
head_first_k,2,4,2102,0.8208360817058841,0.7948981218487996,0.847747394819135,0.0
head_first_k,2,8,4194,0.840281581794765,0.816824009132917,0.8631341979587059,0.0
head_first_k,2,16,8378,0.8676201555887956,0.8423599748190763,0.8920070948055152,0.0
head_first_k,2,48,25114,0.9553836307315777,0.9345376347589243,0.973633684613189,0.75
head_first_k,8,1,533,0.623134756004428,0.5912239788968975,0.6506739703413468,0.0
head_first_k,8,2,1056,0.6424724698154114,0.6233623311004365,0.6603141592418045,0.0
head_first_k,8,4,2102,0.6680241010090318,0.647917749851121,0.6833701284146662,0.0
head_first_k,8,8,4194,0.6952644423854376,0.666923222447444,0.7206001294092017,0.0
head_first_k,8,16,8378,0.7388456397282165,0.7141162096768671,0.7634888895803376,0.0
head_first_k,8,48,25114,0.9134752113286597,0.885409808266908,0.940077184583624,0.125
head_topk_importance,1,8,4194,0.8893889208250318,0.8686780806033084,0.9106287687836545,0.0
head_topk_importance,1,16,8378,0.9154930092488509,0.904307353569896,0.9264734940825197,0.0
head_topk_importance,1,24,12562,0.9372767966033198,0.9261658671954287,0.9495525058194658,0.25
head_topk_importance,1,32,16746,0.9422863112576283,0.9291488400619639,0.9564623836690561,0.375
head_topk_importance,1,40,20930,0.9429179416824502,0.9321415608982638,0.9542995205261428,0.375
head_topk_importance,1,48,25114,0.9534985956721862,0.9436556279537662,0.9636210634637279,0.5
head_topk_importance,2,8,4194,0.8595166279347709,0.8359347929409418,0.882396285472504,0.0
head_topk_importance,2,16,8378,0.899368963118665,0.8707883141667458,0.9268949548711056,0.125
head_topk_importance,2,24,12562,0.922210292745914,0.8990994439733676,0.9463053548227374,0.25
head_topk_importance,2,32,16746,0.9407157042265312,0.9164744288707884,0.9633842109453667,0.375
head_topk_importance,2,40,20930,0.9430976307646393,0.9246394709009067,0.960465929132484,0.25
head_topk_importance,2,48,25114,0.9553836307315777,0.9345376347589243,0.973633684613189,0.75
head_topk_importance,8,8,4194,0.7227722859798719,0.6947852274455864,0.7467357615698186,0.0
head_topk_importance,8,16,8378,0.7876056287572868,0.7546789859642425,0.8165095718409747,0.0
head_topk_importance,8,24,12562,0.8411001153846842,0.8060572248868616,0.8733088689444461,0.0
head_topk_importance,8,32,16746,0.9010367377383157,0.8686018130299986,0.9321627397140393,0.25
head_topk_importance,8,40,20930,0.9152233081915381,0.8883724245100739,0.9400847058976257,0.25
head_topk_importance,8,48,25114,0.9134752113286597,0.885409808266908,0.940077184583624,0.125
