seed,eligible,teacher_val_acc,test_evaluated_after_validation_only,exact_parameter_match,worst_nmse_basis,best_nmse_basis,min_validation_accuracy_basis,min_test_accuracy_basis,D_worst,R_worst,basis_sensitivity,validation_accuracy_difference_worst,test_accuracy_difference_worst,frozen_final_nmse,full32_final_nmse,full32_val_acc,full32_test_acc,direct_final_nmse,direct_val_acc,anchored_minus_sketch_nmse__identity_first8,anchored_minus_sketch_nmse__random_20261121,anchored_minus_sketch_nmse__random_20261122,anchored_minus_sketch_nmse__random_20261123,anchored_nmse__identity_first8,anchored_nmse__random_20261121,anchored_nmse__random_20261122,anchored_nmse__random_20261123,anchored_test_acc__identity_first8,anchored_test_acc__random_20261121,anchored_test_acc__random_20261122,anchored_test_acc__random_20261123,anchored_val_acc__identity_first8,anchored_val_acc__random_20261121,anchored_val_acc__random_20261122,anchored_val_acc__random_20261123
1530,True,0.9740740740740741,True,True,random_20261122,random_20261121,random_20261123,random_20261122,-0.008259043040196479,1.069321621381317,1.0085982944896967,-0.033333333333333326,-0.033333333333333326,0.2963611187696399,0.26942509154288113,0.8666666666666667,0.8740740740740741,0.2564511154888256,0.8814814814814815,-0.3094053891083866,-0.2687402144998484,-0.21858386066687147,-0.16383103782462932,0.28729325967241964,0.28564600723939304,0.2881020757294434,0.2877795855860151,0.8592592592592593,0.8518518518518519,0.8407407407407408,0.8481481481481481,0.8481481481481481,0.8629629629629629,0.8444444444444444,0.8333333333333334
1531,True,0.9629629629629629,True,True,identity_first8,random_20261123,identity_first8,random_20261121,-0.006603091321673443,1.0758054162930808,1.0092260576564458,-0.025925925925925908,-0.03703703703703709,0.21742287990734477,0.19596460976381427,0.7703703703703704,0.8333333333333334,0.18704463274998828,0.8148148148148148,-0.18080272219906898,-0.15144738387336337,-0.17602083666915008,-0.15799395732557964,0.21081978858567132,0.20948520595697795,0.20984919826442183,0.20889253402277613,0.8,0.7962962962962963,0.8148148148148148,0.8037037037037037,0.7444444444444445,0.7444444444444445,0.7518518518518519,0.7518518518518519
1532,False,0.9481481481481482,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,True,0.9518518518518518,True,True,random_20261121,random_20261122,identity_first8,identity_first8,-0.006847390114008839,1.115698559492227,1.017160145839879,-0.03703703703703698,-0.051851851851851816,0.21305645484100502,0.18482507033158252,0.9185185185185185,0.8962962962962963,0.17140284441692227,0.9037037037037037,-0.29861474908872765,-0.26209343341912983,-0.22137330805726835,-0.22706605128234134,0.20483443599933604,0.20620906472699618,0.20273018518310837,0.20366356713958292,0.8444444444444444,0.8666666666666667,0.8703703703703703,0.8703703703703703,0.8814814814814815,0.8814814814814815,0.8962962962962963,0.8888888888888888
1534,True,0.9814814814814815,True,True,random_20261123,random_20261122,identity_first8,identity_first8,-0.0035948364014303236,1.0890558938578416,1.022210824050303,-0.014814814814814836,-0.0185185185185186,0.2484032967154522,0.22478961979335985,0.8074074074074075,0.8333333333333334,0.21123315034320136,0.8333333333333334,-0.33483689235670205,-0.3030029091202129,-0.273717965420083,-0.2591270230886455,0.24149197821894902,0.24343249922055754,0.2394892076607231,0.24480846031402187,0.8148148148148148,0.8148148148148148,0.8185185185185185,0.8222222222222222,0.7925925925925926,0.8111111111111111,0.8111111111111111,0.7962962962962963
1535,True,0.9518518518518518,True,True,random_20261121,random_20261122,identity_first8,random_20261122,-0.0064328091578848,1.0631019514410236,1.0072041516824668,-0.022222222222222254,-0.007407407407407418,0.2209622480665379,0.20179573428292616,0.8333333333333334,0.8555555555555555,0.18976505804405489,0.8333333333333334,-0.1831848449006271,-0.18068155255004867,-0.19727942311539085,-0.2209971864469756,0.21316811083661863,0.2145294389086531,0.2129949906881302,0.2133147194769159,0.8518518518518519,0.8592592592592593,0.8481481481481481,0.8518518518518519,0.8111111111111111,0.825925925925926,0.8148148148148148,0.825925925925926
1536,True,0.9518518518518518,True,True,identity_first8,random_20261123,identity_first8,random_20261121,-0.006693487165512602,1.1326942009007699,1.0083893667253419,-0.04814814814814816,-0.014814814814814836,0.22761237551668484,0.19503842093963888,0.7555555555555555,0.762962962962963,0.18464477494963544,0.7518518518518519,-0.2348915892797585,-0.2503261767323194,-0.2223015620092828,-0.22333903455477494,0.22091888835117224,0.21989377334505847,0.22011280294217495,0.219080938019594,0.762962962962963,0.7481481481481481,0.762962962962963,0.762962962962963,0.7074074074074074,0.7148148148148148,0.7111111111111111,0.7148148148148148
1537,True,0.9703703703703703,True,True,random_20261122,random_20261123,random_20261123,random_20261121,-0.006618392678787083,1.1239428741565973,1.025943717258645,-0.025925925925925908,-0.029629629629629672,0.24074216765352516,0.208305760335394,0.8666666666666667,0.8777777777777778,0.20154956157762086,0.8592592592592593,-0.26134725360432054,-0.22743117742330446,-0.25920601992139075,-0.23707756136932356,0.2298200171102543,0.23079245647661775,0.23412377497473807,0.22820333224548073,0.8592592592592593,0.8481481481481481,0.8555555555555555,0.8703703703703703,0.8518518518518519,0.8592592592592593,0.8518518518518519,0.8407407407407408
1538,True,0.9592592592592593,True,True,identity_first8,random_20261123,random_20261122,random_20261121,-0.005205270073563029,1.1071850884958303,1.02515476350302,-0.033333333333333326,-0.0037037037037037646,0.2090549767708195,0.1841152927503721,0.8851851851851852,0.8666666666666667,0.1715080973132889,0.8962962962962963,-0.2745905530991267,-0.2841747028968107,-0.24463274200802512,-0.22522138765245345,0.20384970669725647,0.2003724118684221,0.20063958052618555,0.19884773885329163,0.8740740740740741,0.8629629629629629,0.8666666666666667,0.8703703703703703,0.8629629629629629,0.8629629629629629,0.8518518518518519,0.8703703703703703
1539,True,0.9703703703703703,True,True,random_20261121,identity_first8,identity_first8,identity_first8,-0.007147703780577108,1.0975189479425547,1.0065911710506974,0.014814814814814836,-0.0037037037037036535,0.18798201704155487,0.16476646129889214,0.8481481481481481,0.8703703703703703,0.15308206911477948,0.8629629629629629,-0.18095739129136199,-0.2256238878694305,-0.2029723374525939,-0.19597530613897615,0.17965020801068596,0.18083431326097776,0.18009447642682186,0.1799737935371761,0.8666666666666667,0.8666666666666667,0.8703703703703703,0.8666666666666667,0.8629629629629629,0.8703703703703703,0.8666666666666667,0.8629629629629629
1540,True,0.9592592592592593,True,True,random_20261121,random_20261123,random_20261122,random_20261123,-0.003965560954212882,1.100170526712295,1.0097605702255879,-0.02962962962962956,-0.06296296296296289,0.16022455457509205,0.1420316122154601,0.8481481481481481,0.8962962962962963,0.13747428417349963,0.8666666666666667,-0.23387415743251794,-0.1576788986060714,-0.15700694663319456,-0.18466941425612818,0.1548527108419322,0.15625899362087917,0.15609216689191666,0.15474855943916463,0.8407407407407408,0.8555555555555555,0.8407407407407408,0.8333333333333334,0.8296296296296296,0.8333333333333334,0.8185185185185185,0.8333333333333334
